timestamp,mid_price,best_bid,best_ask,bids,asks,curr_delta,max_delta,min_delta,bid_vpoc,ask_vpoc,trades,trades_vol
1727790083.4742417,2577.305,2576.91,2577.7,500,500,"(0.08310501638656055, 1727790067.930702)","(0.5156741317626059, 1727790054.872339)","(-0.025878376430674324, 1727790054.239815)","(2499.6000000000004, 226.13400000000001)","(2643.8, 228.465)",6,0.15021151
1727790113.9103355,2572.785,2572.78,2572.79,500,500,"(-0.875693918003447, 1727790113.493389)","(-0.0008993486574417647, 1727790091.916254)","(-0.875693918003447, 1727790113.493389)","(2408.0, 251.353)","(2649.4, 228.514)",16,16.07115314
1727790144.375524,2570.34,2570.26,2570.42,500,500,"(-1.0, 1727790117.114874)","(-0.07251188795751064, 1727790115.612811)","(-1.0, 1727790117.114874)","(2408.0, 251.353)","(2750.0, 246.668)",4,2.8246084299999996
1727790174.8837614,2573.42,2573.06,2573.78,500,500,0,0,0,"(2408.0, 251.353)","(2649.2000000000003, 228.492)",0,0.0
1727790205.3945334,2581.085,2580.81,2581.36,500,500,"(-0.98611417761177, 1727790198.824271)","(0.00694291119411508, 1727790186.941249)","(-0.98611417761177, 1727790198.824271)","(2524.2000000000003, 228.82)","(2750.0, 246.668)",11,5.761272019999999
1727790236.004264,2580.235,2579.86,2580.61,500,500,"(-0.8185170067821479, 1727790228.15016)","(-0.8185170067821479, 1727790228.15016)","(-0.909258503391074, 1727790215.225051)","(2524.2000000000003, 228.82)","(2646.2000000000003, 228.445)",3,0.37033696
1727790266.5197651,2580.685,2580.68,2580.69,500,500,"(-1.0, 1727790255.133111)","(-0.024747362710547026, 1727790247.38396)","(-1.0, 1727790255.133111)","(2524.2000000000003, 228.82)","(2750.0, 246.668)",4,0.4178817
1727790296.9889393,2582.53,2582.28,2582.78,500,500,"(1.0, 1727790276.059906)","(1.0, 1727790276.059906)","(1.0, 1727790276.059906)","(2524.2000000000003, 228.82)","(2724.0, 234.24)",1,29.96639507
1727790327.424142,2573.975,2573.39,2574.56,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.668)",0,0.0
1727790357.9068801,2575.735,2575.17,2576.3,500,500,0,0,0,"(2524.2000000000003, 228.82)","(2604.0, 215.665)",0,0.0
1727790388.4354885,2577.785,2577.4,2578.17,500,500,0,0,0,"(2524.2000000000003, 230.953)","(2750.0, 246.668)",0,0.0
1727790418.9952705,2579.365,2579.36,2579.37,500,500,"(1.0, 1727790390.241811)","(1.0, 1727790390.241811)","(0.9340854530063972, 1727790388.671114)","(2524.2000000000003, 228.82)","(2605.6000000000004, 216.46599999999998)",2,0.0576504
1727790449.4258988,2576.035,2575.39,2576.68,500,500,"(-1.0, 1727790440.411423)","(-0.11660431364526273, 1727790440.411423)","(-1.0, 1727790440.411423)","(2524.2000000000003, 228.82)","(2639.2000000000003, 228.476)",2,0.08886498
1727790479.9463234,2575.12,2574.73,2575.51,500,500,0,0,0,"(2408.0, 251.353)","(2638.8, 213.504)",0,0.0
1727790510.626701,2575.005,2574.67,2575.34,500,500,0,0,0,"(2495.8, 226.159)","(2638.2000000000003, 228.482)",0,0.0
1727790541.2770276,2574.4849999999997,2574.16,2574.81,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.668)",0,0.0
1727790571.821149,2577.0249999999996,2576.72,2577.33,500,500,0,0,0,"(2551.0, 314.988)","(2750.0, 246.668)",0,0.0
1727790602.6116145,2580.135,2579.59,2580.68,500,500,0,0,0,"(2524.2000000000003, 228.82)","(2750.0, 246.668)",0,0.0
1727790633.4318402,2576.375,2576.0,2576.75,500,500,"(1.0, 1727790621.598847)","(1.0, 1727790621.598847)","(0.8027176679567029, 1727790620.626306)","(2524.2000000000003, 228.82)","(2603.0, 269.238)",3,0.03852347
1727790663.9147189,2573.245,2573.03,2573.46,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.668)",0,0.0
1727790694.547279,2573.685,2573.68,2573.69,500,500,0,0,0,"(2524.2000000000003, 228.82)","(2600.4, 228.231)",0,0.0
1727790725.058376,2573.685,2573.68,2573.69,500,500,"(1.0, 1727790721.767232)","(1.0, 1727790721.767232)","(0.2977584714558365, 1727790721.73661)","(2496.4, 226.16)","(2750.0, 246.668)",4,13.882681119999997
1727790755.642177,2575.605,2575.6,2575.61,500,500,0,0,0,"(2408.0, 251.353)","(2602.6000000000004, 270.788)",0,0.0
1727790786.1804292,2573.2200000000003,2573.01,2573.43,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.668)",0,0.0
1727790816.7932637,2572.505,2572.36,2572.65,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.668)",0,0.0
1727790847.3301678,2572.995,2572.99,2573.0,500,500,0,0,0,"(2408.0, 251.353)","(2636.0, 228.628)",0,0.0
1727790877.896904,2574.41,2574.07,2574.75,500,500,"(-1.0, 1727790856.045978)","(-1.0, 1727790856.045978)","(-1.0, 1727790856.045978)","(2408.0, 251.353)","(2750.0, 246.668)",1,0.00753199
1727790908.407754,2573.74,2573.43,2574.05,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.668)",0,0.0
1727790938.8890123,2573.5,2573.25,2573.75,500,500,"(-0.4463373393740844, 1727790931.583424)","(-0.4463373393740844, 1727790931.583424)","(-0.7231686696870422, 1727790928.965715)","(2408.0, 251.353)","(2636.8, 228.489)",2,0.01372677
1727790969.4453237,2573.86,2573.51,2574.21,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.668)",0,0.0
1727791000.0065281,2574.2650000000003,2574.0,2574.53,500,500,"(-1.0, 1727790997.599507)","(-1.0, 1727790997.599507)","(-1.0, 1727790997.599507)","(2496.8, 226.16)","(2637.0, 228.486)",1,0.17
1727791030.604842,2577.295,2577.02,2577.57,500,500,0,0,0,"(2524.2000000000003, 228.82)","(2750.0, 246.668)",0,0.0
1727791061.2531617,2579.88,2579.53,2580.23,500,500,"(-0.9948139867286362, 1727791058.921793)","(-0.03177704210394525, 1727791041.241652)","(-0.9974069933643182, 1727791051.744433)","(2524.2000000000003, 228.82)","(2644.4, 228.446)",19,7.8673150000000005
1727791091.7998888,2583.295,2582.99,2583.6,500,500,0,0,0,"(2524.2000000000003, 228.82)","(2610.2000000000003, 212.941)",0,0.0
1727791122.3466413,2585.315,2585.31,2585.32,500,500,"(1.0, 1727791108.124697)","(1.0, 1727791108.124697)","(1.0, 1727791108.124697)","(2408.0, 251.353)","(2613.2000000000003, 213.395)",1,0.0052879
1727791152.9515243,2581.34,2580.94,2581.74,500,500,"(1.0, 1727791125.838707)","(1.0, 1727791125.838707)","(0.01963966321243523, 1727791125.838707)","(2408.0, 251.353)","(2750.0, 246.668)",2,0.386
1727791183.5790384,2580.855,2580.67,2581.04,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.668)",0,0.0
1727791214.118884,2580.005,2580.0,2580.01,500,500,"(-1.0, 1727791203.44382)","(-1.0, 1727791203.44382)","(-1.0, 1727791203.44382)","(2408.0, 251.353)","(2750.0, 246.668)",1,0.00823452
1727791244.616136,2582.2650000000003,2582.26,2582.27,500,500,"(1.0, 1727791241.125799)","(1.0, 1727791241.125799)","(1.0, 1727791241.125799)","(2408.0, 251.353)","(2608.6000000000004, 213.415)",1,0.03803672
1727791275.1093686,2583.1549999999997,2583.15,2583.16,500,500,"(1.0, 1727791262.305216)","(1.0, 1727791262.305216)","(0.0005417956642368533, 1727791262.305216)","(2408.0, 251.353)","(2750.0, 246.668)",2,3.87600001
1727791305.706062,2585.885,2585.42,2586.35,500,500,"(0.9999999999999994, 1727791297.309431)","(0.9999999999999994, 1727791297.309431)","(0.001650751103749865, 1727791297.30943)","(2408.0, 251.353)","(2613.2000000000003, 211.896)",49,151.44621102000002
1727791336.1838326,2588.325,2588.01,2588.64,500,500,0,0,0,"(2534.4, 228.753)","(2665.4, 228.791)",0,0.0
1727791366.7070167,2588.5150000000003,2588.42,2588.61,500,500,"(-1.0, 1727791357.464108)","(-1.0, 1727791357.464108)","(-1.0, 1727791357.464108)","(2534.4, 228.753)","(2666.0, 228.392)",1,0.7837868
1727791397.1997344,2588.49,2588.19,2588.79,500,500,0,0,0,"(2534.4, 228.753)","(2664.4, 228.393)",0,0.0
1727791427.7904842,2586.2650000000003,2586.07,2586.46,500,500,"(-1.0, 1727791410.31801)","(-0.6340024222950148, 1727791410.31801)","(-1.0, 1727791410.31801)","(2534.4, 228.753)","(2650.6000000000004, 228.406)",3,0.39432026
1727791458.3280787,2585.795,2585.52,2586.07,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.674)",0,0.0
1727791488.9172852,2588.6000000000004,2588.34,2588.86,500,500,0,0,0,"(2534.4, 228.753)","(2750.0, 246.674)",0,0.0
1727791519.589174,2586.76,2586.46,2587.06,500,500,"(-1.0, 1727791513.717692)","(-0.0006915887128407999, 1727791513.717692)","(-1.0, 1727791513.717692)","(2534.4, 228.753)","(2660.2000000000003, 228.401)",6,6.9039299100000004
1727791550.165118,2583.91,2583.84,2583.98,500,500,0,0,0,"(2408.0, 251.353)","(2610.2000000000003, 213.742)",0,0.0
1727791580.705685,2583.895,2583.64,2584.15,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.674)",0,0.0
1727791611.2718515,2585.1549999999997,2584.9,2585.41,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.674)",0,0.0
1727791641.8286889,2581.84,2581.62,2582.06,500,500,0,0,0,"(2408.0, 251.353)","(2645.6000000000004, 228.436)",0,0.0
1727791672.2719588,2576.9449999999997,2576.74,2577.15,500,500,"(-1.0, 1727791662.315325)","(-0.019107977744209463, 1727791649.12505)","(-1.0, 1727791662.315325)","(2408.0, 251.353)","(2750.0, 246.674)",3,2.03056548
1727791702.7251163,2581.56,2581.22,2581.9,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.674)",0,0.0
1727791733.2526376,2585.865,2585.61,2586.12,500,500,"(1.0, 1727791721.646702)","(1.0, 1727791721.646702)","(1.0, 1727791721.646702)","(2527.0, 228.801)","(2750.0, 246.674)",1,0.0041782
1727791763.7221782,2580.725,2580.47,2580.98,500,500,0,0,0,"(2527.0, 228.801)","(2646.4, 228.439)",0,0.0
1727791794.1989465,2578.535,2578.26,2578.81,500,500,0,0,0,"(2527.0, 228.801)","(2750.0, 246.674)",0,0.0
1727791824.723752,2575.82,2575.59,2576.05,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.674)",0,0.0
1727791855.2128525,2572.995,2572.76,2573.23,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.674)",0,0.0
1727791885.7377162,2574.09,2573.68,2574.5,500,500,"(-1.0, 1727791884.812133)","(-1.0, 1727791884.812133)","(-1.0, 1727791884.812133)","(2408.0, 251.353)","(2750.0, 246.674)",1,0.25
1727791916.2388356,2575.6400000000003,2575.34,2575.94,500,500,"(-1.0, 1727791886.93192)","(-1.0, 1727791886.93192)","(-1.0, 1727791886.93192)","(2408.0, 251.353)","(2750.0, 246.674)",1,0.07414
1727791946.6773562,2573.84,2573.51,2574.17,500,500,0,0,0,"(2496.6000000000004, 226.172)","(2750.0, 246.674)",0,0.0
1727791977.1659112,2575.6549999999997,2575.37,2575.94,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.674)",0,0.0
1727792007.6821048,2580.77,2580.45,2581.09,500,500,0,0,0,"(2556.2000000000003, 233.269)","(2750.0, 246.674)",0,0.0
1727792038.26045,2580.17,2579.81,2580.53,500,500,0,0,0,"(2527.0, 228.801)","(2750.0, 246.674)",0,0.0
1727792068.7266157,2578.4399999999996,2578.22,2578.66,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.674)",0,0.0
1727792099.2289732,2578.375,2578.12,2578.63,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.674)",0,0.0
1727792129.732595,2579.1549999999997,2578.82,2579.49,500,500,"(1.0, 1727792113.716193)","(1.0, 1727792113.716193)","(1.0, 1727792113.716193)","(2527.0, 228.801)","(2750.0, 246.674)",1,0.45045918
1727794634.0446682,2547.8900000000003,2547.69,2548.09,500,500,0,0,0,"(2496.6000000000004, 229.012)","(2611.4, 228.667)",0,0.0
1727794664.527621,2548.1099999999997,2547.79,2548.43,500,500,"(1.0, 1727794648.062105)","(1.0, 1727794648.062105)","(0.2896869778061353, 1727794642.140021)","(2496.6000000000004, 229.012)","(2645.2000000000003, 228.44)",2,0.02048449
1727794695.1654484,2548.295,2547.99,2548.6,500,500,0,0,0,"(2496.6000000000004, 229.012)","(2572.8, 213.165)",0,0.0
1727794725.6187909,2550.0649999999996,2549.72,2550.41,500,500,0,0,0,"(2496.6000000000004, 229.012)","(2575.8, 215.731)",0,0.0
