timestamp,mid_price,best_bid,best_ask,bids,asks,curr_delta,max_delta,min_delta,bid_vpoc,ask_vpoc,trades,trades_vol
1727721108.3961737,2575.395,2575.39,2575.4,500,500,"(-0.9514551378420952, 1727721096.54603)","(-0.1262770133292398, 1727721093.722464)","(-0.9757275689210475, 1727721095.631134)","(2497.0, 1000.0)","(2615.2000000000003, 406.158)",34,10.369424849999998
1727721139.0323958,2576.475,2576.47,2576.48,500,500,"(0.9066231286349994, 1727721134.004843)","(0.9066231286349994, 1727721134.004843)","(0.001782664985550481, 1727721115.718652)","(2497.0, 1000.0)","(2620.0, 517.069)",5,3.96032909
1727721169.7339756,2578.3450000000003,2578.34,2578.35,500,500,"(-0.2660754118924958, 1727721166.013335)","(-0.2660754118924958, 1727721166.013335)","(-0.633037705946248, 1727721145.710028)","(2497.0, 1000.0)","(2620.0, 517.069)",6,1.7763712799999998
1727721200.4444015,2581.435,2581.43,2581.44,500,500,"(1.0, 1727721197.994449)","(1.0, 1727721197.994449)","(0.0015587747252695122, 1727721184.722734)","(2497.0, 1000.0)","(2628.0, 375.935)",2,0.03162099
1727721230.9696326,2582.855,2582.84,2582.87,500,500,"(-0.9185157087402129, 1727721219.621937)","(-0.9185157087402129, 1727721219.621937)","(-0.9592578543701065, 1727721204.017744)","(2497.0, 1000.0)","(2628.0, 375.935)",5,0.67760717
1727721261.4830995,2581.245,2581.24,2581.25,500,500,"(-0.5182169130300518, 1727721248.230689)","(0.24089154348497413, 1727721245.037675)","(-0.5182169130300518, 1727721248.230689)","(2497.0, 1000.0)","(2628.0, 375.935)",3,0.03167002
1727721292.098805,2581.885,2581.88,2581.89,500,500,"(1.0, 1727721284.107232)","(1.0, 1727721284.107232)","(0.7303370786516854, 1727721271.244183)","(2497.0, 1000.0)","(2628.0, 375.935)",3,0.89
1727721322.7252107,2581.245,2581.24,2581.25,500,500,"(-0.738693165782888, 1727721309.340651)","(0.0012232743068329515, 1727721301.47073)","(-0.8681233085846111, 1727721308.052114)","(2497.0, 1000.0)","(2620.0, 517.069)",8,2.9228848999999997
1727721353.8640087,2579.635,2579.63,2579.64,500,500,"(-0.15402455007167118, 1727721334.623223)","(-0.15402455007167118, 1727721334.623223)","(-0.5770122750358356, 1727721329.883813)","(2497.0, 1000.0)","(2620.0, 517.069)",5,2.4279489199999995
1727721384.4787648,2578.9849999999997,2578.98,2578.99,500,500,"(0.6433583671591264, 1727721373.191777)","(0.6433583671591264, 1727721373.191777)","(-0.17832081642043682, 1727721358.144433)","(2497.0, 1000.0)","(2620.0, 517.069)",10,7.3021199999999995
1727721415.148814,2579.925,2579.92,2579.93,500,500,0,0,0,"(2497.0, 1000.0)","(2620.0, 517.069)",0,0.0
