{'timestamp': 1727789414.2025368, 'mid_price': 2610.9449999999997, 'best_bid': 2610.94, 'best_ask': 2610.95, 'bids': 500, 'asks': 500, 'curr_delta': (-0.8236448276714651, 1727789410.228003), 'max_delta': (-0.06939107950114812, 1727789389.67132), 'min_delta': (-0.8813891923449378, 1727789400.134943), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2650.4, 516.4590000000001), 'trades': 8, 'trades_vol': 8.70702696}
{'timestamp': 1727789444.714757, 'mid_price': 2611.225, 'best_bid': 2611.22, 'best_ask': 2611.23, 'bids': 500, 'asks': 500, 'curr_delta': (-0.9406334501115959, 1727789443.018101), 'max_delta': (0.0058283223695784325, 1727789428.185854), 'min_delta': (-0.9644884026862196, 1727789437.211259), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2650.4, 516.4590000000001), 'trades': 5, 'trades_vol': 2.03982883}
{'timestamp': 1727789475.2724695, 'mid_price': 2610.425, 'best_bid': 2610.42, 'best_ask': 2610.43, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727789472.894816), 'max_delta': (-0.02149647571230055, 1727789472.894816), 'min_delta': (-1.0, 1727789472.894816), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2650.4, 516.4590000000001), 'trades': 5, 'trades_vol': 0.35640819}
{'timestamp': 1727789505.7920506, 'mid_price': 2610.545, 'best_bid': 2610.54, 'best_ask': 2610.55, 'bids': 500, 'asks': 500, 'curr_delta': (1.0, 1727789501.002779), 'max_delta': (1.0, 1727789501.002779), 'min_delta': (0.5981755521557315, 1727789485.348635), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2610.6000000000004, 428.12), 'trades': 2, 'trades_vol': 0.19411462000000002}
{'timestamp': 1727789536.3223083, 'mid_price': 2609.9049999999997, 'best_bid': 2609.9, 'best_ask': 2609.91, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727789522.66431), 'max_delta': (-0.42838809960724555, 1727789522.66431), 'min_delta': (-1.0, 1727789522.66431), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2655.8, 412.805), 'trades': 7, 'trades_vol': 0.13279797}
{'timestamp': 1727789566.772075, 'mid_price': 2613.0699999999997, 'best_bid': 2613.02, 'best_ask': 2613.12, 'bids': 500, 'asks': 500, 'curr_delta': (0.25393228341261725, 1727789566.374258), 'max_delta': (0.29799218433653385, 1727789557.733356), 'min_delta': (-0.097478766585907, 1727789542.517712), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2655.8, 412.805), 'trades': 6, 'trades_vol': 1.0367385999999998}
{'timestamp': 1727789597.208282, 'mid_price': 2611.005, 'best_bid': 2611.0, 'best_ask': 2611.01, 'bids': 500, 'asks': 500, 'curr_delta': (-0.9997615976055467, 1727789595.646815), 'max_delta': (0.00011920119722657847, 1727789570.941704), 'min_delta': (-0.9997615976055467, 1727789595.646815), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2655.8, 412.805), 'trades': 12, 'trades_vol': 300.03876498}
{'timestamp': 1727789627.6517682, 'mid_price': 2609.9049999999997, 'best_bid': 2609.9, 'best_ask': 2609.91, 'bids': 500, 'asks': 500, 'curr_delta': (-0.990702762887572, 1727789626.608444), 'max_delta': (0.00464861855621405, 1727789610.632934), 'min_delta': (-0.990702762887572, 1727789626.608444), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2610.0, 559.04), 'trades': 3, 'trades_vol': 0.82477406}
{'timestamp': 1727789658.158676, 'mid_price': 2604.005, 'best_bid': 2604.0, 'best_ask': 2604.01, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727789657.217548), 'max_delta': (-0.00476968899261891, 1727789629.025822), 'min_delta': (-1.0, 1727789657.217548), 'bid_vpoc': (2540.0, 1000.6), 'ask_vpoc': (2645.2000000000003, 438.098), 'trades': 10, 'trades_vol': 3.9378206899999997}
{'timestamp': 1727789688.6053817, 'mid_price': 2601.455, 'best_bid': 2601.45, 'best_ask': 2601.46, 'bids': 500, 'asks': 500, 'curr_delta': (-0.9836017580040648, 1727789688.248728), 'max_delta': (-0.006892079477530752, 1727789674.797866), 'min_delta': (-0.9918008790020323, 1727789681.669382), 'bid_vpoc': (2497.0, 1000.0), 'ask_vpoc': (2645.2000000000003, 438.098), 'trades': 10, 'trades_vol': 1.4509409000000002}
{'timestamp': 1727789719.0820894, 'mid_price': 2598.535, 'best_bid': 2598.53, 'best_ask': 2598.54, 'bids': 500, 'asks': 500, 'curr_delta': (-0.7959446245894846, 1727789713.856838), 'max_delta': (0.07424391579628854, 1727789693.069221), 'min_delta': (-0.8124242432779045, 1727789706.37523), 'bid_vpoc': (2497.0, 1000.0), 'ask_vpoc': (2645.2000000000003, 438.098), 'trades': 33, 'trades_vol': 12.353194199999999}
{'timestamp': 1727789749.5452287, 'mid_price': 2597.225, 'best_bid': 2597.22, 'best_ask': 2597.23, 'bids': 500, 'asks': 500, 'curr_delta': (-0.4012069190830332, 1727789730.006301), 'max_delta': (0.2993965404584834, 1727789719.610275), 'min_delta': (-0.4012069190830332, 1727789730.006301), 'bid_vpoc': (2497.0, 1000.0), 'ask_vpoc': (2645.2000000000003, 438.106), 'trades': 7, 'trades_vol': 0.74218563}
{'timestamp': 1727789780.159368, 'mid_price': 2597.135, 'best_bid': 2597.13, 'best_ask': 2597.14, 'bids': 500, 'asks': 500, 'curr_delta': (-0.10575271495090707, 1727789763.225859), 'max_delta': (0.44712364252454645, 1727789750.556419), 'min_delta': (-0.10575271495090707, 1727789763.225859), 'bid_vpoc': (2497.0, 1000.0), 'ask_vpoc': (2597.2000000000003, 594.837), 'trades': 5, 'trades_vol': 1.57898159}
{'timestamp': 1727789810.6054962, 'mid_price': 2595.145, 'best_bid': 2595.14, 'best_ask': 2595.15, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0000000000000002, 1727789804.241872), 'max_delta': (-0.006777203240397512, 1727789788.019576), 'min_delta': (-1.0000000000000002, 1727789804.241872), 'bid_vpoc': (2497.0, 1000.0), 'ask_vpoc': (2642.4, 412.805), 'trades': 8, 'trades_vol': 5.045858709999999}
{'timestamp': 1727789841.024006, 'mid_price': 2591.995, 'best_bid': 2591.99, 'best_ask': 2592.0, 'bids': 500, 'asks': 500, 'curr_delta': (-0.9999999999999997, 1727789835.349715), 'max_delta': (-0.015760788940350177, 1727789825.302001), 'min_delta': (-0.9999999999999997, 1727789835.349715), 'bid_vpoc': (2497.0, 1000.0), 'ask_vpoc': (2634.8, 437.70799999999997), 'trades': 33, 'trades_vol': 2.3841630100000004}
{'timestamp': 1727789871.4462056, 'mid_price': 2589.065, 'best_bid': 2588.79, 'best_ask': 2589.34, 'bids': 500, 'asks': 500, 'curr_delta': (-0.9891295083603536, 1727789871.126986), 'max_delta': (0.0014209572507121303, 1727789841.435139), 'min_delta': (-0.9908628778319574, 1727789868.939479), 'bid_vpoc': (2497.0, 1000.0), 'ask_vpoc': (2634.8, 437.70799999999997), 'trades': 35, 'trades_vol': 108.63707541000002}
{'timestamp': 1727789901.9124987, 'mid_price': 2589.835, 'best_bid': 2589.83, 'best_ask': 2589.84, 'bids': 500, 'asks': 500, 'curr_delta': (-0.7909700097448933, 1727789900.017551), 'max_delta': (0.023263732541223072, 1727789871.126986), 'min_delta': (-0.7909700097448933, 1727789900.017551), 'bid_vpoc': (2497.0, 1000.0), 'ask_vpoc': (2642.4, 412.805), 'trades': 8, 'trades_vol': 8.094496}
{'timestamp': 1727789932.556198, 'mid_price': 2589.065, 'best_bid': 2589.06, 'best_ask': 2589.07, 'bids': 500, 'asks': 500, 'curr_delta': (1.0, 1727789925.030689), 'max_delta': (1.0, 1727789925.030689), 'min_delta': (0.03723726557124423, 1727789904.552838), 'bid_vpoc': (2497.0, 1000.0), 'ask_vpoc': (2642.4, 412.805), 'trades': 3, 'trades_vol': 0.10323019}
{'timestamp': 1727789963.1483624, 'mid_price': 2586.085, 'best_bid': 2586.08, 'best_ask': 2586.09, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727789934.221773), 'max_delta': (-0.24367719474295896, 1727789934.221773), 'min_delta': (-1.0, 1727789934.221773), 'bid_vpoc': (2497.0, 1000.0), 'ask_vpoc': (2626.8, 437.70799999999997), 'trades': 2, 'trades_vol': 1.95319}
{'timestamp': 1727789993.664529, 'mid_price': 2585.9049999999997, 'best_bid': 2585.9, 'best_ask': 2585.91, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727789965.364442), 'max_delta': (-0.7532548140515166, 1727789963.291641), 'min_delta': (-1.0, 1727789965.364442), 'bid_vpoc': (2497.0, 1000.0), 'ask_vpoc': (2642.4, 412.805), 'trades': 2, 'trades_vol': 3.31893}
{'timestamp': 1727790024.3838582, 'mid_price': 2583.675, 'best_bid': 2583.67, 'best_ask': 2583.68, 'bids': 500, 'asks': 500, 'curr_delta': (-0.9998073460203108, 1727790019.713038), 'max_delta': (9.632698984452952e-05, 1727790005.56208), 'min_delta': (-0.9998073460203108, 1727790019.713038), 'bid_vpoc': (2497.0, 1000.0), 'ask_vpoc': (2630.2000000000003, 412.805), 'trades': 22, 'trades_vol': 76.71276774999998}
